dep,nivel,carrera,sexo,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980
FCPyS,Tecnico,Turismo,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,2,2,2,,,,
FCPyS,Licenciatura,Tronco común,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1734,,,
FCPyS,Licenciatura,Tronco común,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1530,,,
FCPyS,Licenciatura,AP,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,268,,299,453,537,627,705,581,817,459,964,1071,1189
FCPyS,Licenciatura,AP,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,33,,38,34,79,83,129,134,199,123,384,390,413
FCPyS,Licenciatura,Ciencias de la Comunicación,Total,,,,,,,,,,,,,,,,,,,,,,,35,46,39,44,45,36,41,,,,,,,,,,,,,,,,,,,,,,,
FCPyS,Licenciatura,Ciencias de la Comunicación,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,51,47,63,77,84,82,113,110,100,144,228,220,293,420,646,160,654,886,553,958,932,791
FCPyS,Licenciatura,Ciencias de la Comunicación,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,20,13,23,30,39,39,54,47,55,74,108,114,188,286,432,552,509,747,423,810,992,866
FCPyS,Licenciatura,CP,Total,,,,,,,,,,,,,,,,,,,,,,,24,43,36,37,38,59,30,,,,,,,,,,,,,,,,,,,,,,,
FCPyS,Licenciatura,CP,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,106,92,132,135,154,198,261,336,382,207,417,166,150,153,229,281,277,338,162,335,289,
FCPyS,Licenciatura,CP,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,15,10,19,11,20,33,45,42,47,34,62,31,19,20,41,35,56,83,40,130,105,
FCPyS,Licenciatura,RI,Hombres,,,,,,,,,,,,,,,,,,,,,,,80,149,186,213,207,236,209,149,157,178,165,173,154,155,181,213,224,306,311,405,444,589,632,649,554,777,403,907,906,739
FCPyS,Licenciatura,RI,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,76,87,89,85,102,104,115,112,140,189,182,222,362,444,537,558,459,689,401,908,983,825
FCPyS,Licenciatura,Sociología,Hombres,,,,,,,,,,,,,,,,,,,,,,,3,18,25,45,64,51,59,51,56,65,82,122,143,173,178,203,223,260,250,269,294,448,506,672,639,870,466,835,1026,831
FCPyS,Licenciatura,Sociología,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,35,37,47,66,71,81,91,89,123,173,176,213,319,360,494,664,542,886,537,1136,1153,938
FCPyS,Especialización,Presupuesto por programa para la AP,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,
FCPyS,Especialización,Presupuesto por programa para la AP,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
FCPyS,Especialización,Prmotor del desarrollo de la ocmunidad,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
FCPyS,Especialización,Prmotor del desarrollo de la ocmunidad,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCPyS,Especialización,Redacción,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
FCPyS,Especialización,Redacción,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
FCPyS,Especialización,Pre requisitos,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,140,,,,,,
FCPyS,Especialización,Pre requisitos,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,42,,,,,,
FCPyS,Especialización,Métodos del SP,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,20,,,,,,,,,,,
FCPyS,Especialización,Métodos del SP,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCPyS,Especialización,Integración Rregional,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
FCPyS,Especialización,Integración Rregional,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
FCPyS,Maestria,AP,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,3,9,12,10,15,22,41,,43,71,,
FCPyS,Maestria,AP,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,1,2,1,2,4,6,4,10,25,,
FCPyS,Maestria,CP,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,2,2,4,6,12,14,6,21,37,,
FCPyS,Maestria,CP,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,1,1,,8,3,8,7,,
FCPyS,Maestria,Estudios Latinoamericanos,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14,13,26,5,37,36,,
FCPyS,Maestria,Estudios Latinoamericanos,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,15,12,18,4,27,32,,
FCPyS,Maestria,RI,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,4,,,3,4,2,3,2,7,10,,
FCPyS,Maestria,RI,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,1,1,1,2,2,2,1,5,3,,
FCPyS,Maestria,Sociología,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,6,4,4,4,6,16,36,13,64,84,,
FCPyS,Maestria,Sociología,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,3,6,12,16,12,22,7,42,77,,
FCPyS,Doctorado,AP,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,7,11,7,12,14,,1,,3,,
FCPyS,Doctorado,AP,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,,3,3,,0,,1,,
FCPyS,Doctorado,Prerequistos,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,
FCPyS,Doctorado,Prerequistos,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,
FCPyS,Doctorado,CP,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,17,7,9,5,4,3,,1,,
FCPyS,Doctorado,CP,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,,1,2,1,,,1,,
FCPyS,Doctorado,Estudios Latinoamericanos,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,4,6,1,,,,
FCPyS,Doctorado,Estudios Latinoamericanos,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,6,7,1,,3,,
FCPyS,Doctorado,RI,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,5,3,2,4,,,,1,,
FCPyS,Doctorado,RI,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,7,1,1,1,,,,,,
FCPyS,Doctorado,Sociología,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,10,6,8,9,,3,,,,
FCPyS,Doctorado,Sociología,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,3,3,6,,,,,,
FCyA,Cursos libres,Cursos libres,Hombres,,,,,,,,,,,,6,2,6,5,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCyA,Cursos libres,Cursos libres,Mujeres,,,,,,,,,,,,5,5,4,8,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCyA,Licenciatura,Contaduria de Comercio,Hombres,,,,,,,,,,,,84,78,129,145,103,79,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCyA,Licenciatura,Contaduria de Comercio,Mujeres,,,,,,,,,,,,126,129,145,167,154,151,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCyA,Licenciatura,Tronco comun,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2304,,,
FCyA,Licenciatura,Tronco comun,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842,,,
FCyA,Licenciatura,Administracion,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313,454,577,828,858,991,986,1169,1254,1320,1771,2481,3784,4509,6088,5973,6171,6049,4720,2961,4991,5026,5250
FCyA,Licenciatura,Administracion,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,35,54,90,77,100,99,117,119,139,207,466,461,745,955,974,1140,1249,1138,753,1546,1564,1837
FCyA,Licenciatura,Contaduria,Hombres,,,,,,,,,,,,995,1029,1051,1411,1273,1480,1505,1353,1260,1542,1765,1588,1360,1368,1352,1085,1787,2308,2206,2592,3126,3814,3916,3973,4052,4222,4135,4220,4111,4473,4647,4874,5172,4322,3921,3426,2732,1738,2862,3208,3734
FCyA,Licenciatura,Contaduria,Mujeres,,,,,,,,,,,,149,191,167,212,192,205,273,244,237,257,305,291,277,296,309,238,337,410,463,557,679,799,862,901,914,959,875,863,942,899,1138,1461,1515,1323,1159,1300,1053,709,1318,1597,1754
FCyA,Especialización,Administracion,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,
FCyA,Especialización,Administracion,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCyA,Maestria,Administracion,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,68,102,103,90,111,128,222,9,222,133,196,
FCyA,Maestria,Administracion,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,7,5,8,8,15,20,,37,23,41,
FD,Licenciatura,Derecho,Hombres,,,,,,,,,,,,1705,1733,1771,2197,1945,2165,2056,1930,1876,,,,,,,,,,4312,1730,5497,5541,5865,5606,5591,5767,5642,5836,5845,6199,6070,6194,7417,7080,8456,7921,7831,6871,7115,7460,7122
FD,Licenciatura,Derecho,Mujeres,,,,,,,,,,,,133,177,189,233,225,214,204,176,156,,,,,,,,,,519,609,648,694,770,770,748,843,819,866,904,954,975,1547,1395,1459,1810,1825,2066,2813,4321,2534,2516
FD,Especialización,Ciencias penales,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,45,55,97,111,70,18,20,18,,
FD,Especialización,Ciencias penales,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,9,14,15,8,10,3,,
FD,Especialización,Derecho civil y mercantil,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,
FD,Especialización,Derecho civil y mercantil,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
FD,Especialización,Derecho constitucional y administrativo,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,64,46,93,116,123,47,37,40,,
FD,Especialización,Derecho constitucional y administrativo,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,4,13,25,25,9,8,10,,
FD,Especialización,Derecho fiscal,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,
FD,Especialización,Derecho fiscal,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
FD,Especialización,Derrecho privado,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,44,80,69,31,14,25,,,,
FD,Especialización,Derrecho privado,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,5,15,12,10,4,11,,,,
FD,Especialización,Derecho social,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,32,56,45,52,99,57,31,21,23,,
FD,Especialización,Derecho social,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,12,9,21,28,15,7,6,2,,
FD,Especialización,Finanzas publicas,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,28,86,52,110,109,84,87,41,44,,
FD,Especialización,Finanzas publicas,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,10,8,10,14,22,19,12,9,,
FD,Maestria,Derecho,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,28,30,34,46,68,73,23,31,31,16,
FD,Maestria,Derecho,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,5,7,6,8,10,19,8,6,13,10,
FD,Doctorado,Derecho,Total,,,,,,,,,,,,,,,,,,,,,,131,140,63,63,66,,45,31,,,,,,,,,,,,,,,,,,,,,,,
FD,Doctorado,Derecho,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,8,52,63,75,63,47,66,50,15,,,39,67,35,54,63,10,57,,49,24,
FD,Doctorado,Derecho,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,5,5,7,5,4,,1,,,10,15,10,10,17,5,14,,13,11,
FD,Doctorado,Derecho penal,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,16,,,,,,,,,,,,
FD,Doctorado,Derecho penal,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,
FD,Doctorado,Derecho privado,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,17,,,,,,,,,,,,
FD,Doctorado,Derecho privado,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,,,,,,
FD,Doctorado,Derecho publico,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,27,,,,,,,,,,,,
FD,Doctorado,Derecho publico,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,
FD,Doctorado,Derecho social,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,,,,,,,,,,,,
FD,Doctorado,Derecho social,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,,,,,,,,,,
FE,Licenciatura,Economia,Hombres,,,,,,105,110,98,98,183,225,250,226,225,275,279,244,316,243,234,320,300,277,334,328,396,510,591,704,807,1070,1429,1632,1908,1994,2104,2172,2238,2378,2474,2543,2536,2751,2867,3102,3770,3161,3459,4358,4594,3758,3049
FE,Licenciatura,Economia,Mujeres,,,,,,4,10,14,30,35,46,51,70,69,80,85,74,65,45,52,92,57,58,56,75,87,107,100,155,171,204,257,286,305,333,337,327,305,346,364,402,380,543,578,669,864,729,877,1131,1249,1142,858
FE,Maestria,Economia,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,60,69,66,56,109,
FE,Maestria,Economia,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,19,16,19,22,37,
FE,Doctorado,Economia,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,7,
FE,Doctorado,Economia,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,
ENEO,Tecnico,Enfermeria,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,4,,,1,,,,,3,3,3,12,7,17,28,33,55,67,73,85
ENEO,Tecnico,Enfermeria,Mujeres,,,,,,,,,,,,265,302,356,383,393,389,371,272,261,283,275,284,279,269,262,,,209,217,247,293,288,391,627,193,863,879,845,946,950,1078,1122,1247,1165,1103,1134,1125,1290,1122,1217,1368
ENEO,Tecnico,Obtetricia,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
ENEO,Tecnico,Obtetricia,Mujeres,,,,,,,,,,,,66,66,66,115,121,137,130,172,155,147,142,140,149,142,135,,,110,99,137,64,69,53,41,49,56,86,108,56,36,,,,,,,,,,,
ENEO,Tecnico,Enfermeria y obstetricia,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,2,9,26,48,63,84,101,93
ENEO,Tecnico,Enfermeria y obstetricia,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,44,60,60,59,54,97,149,154,176,225,323,406
ENEO,Tecnico,Enfermeria pediatrica,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENEO,Tecnico,Enfermeria pediatrica,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,15,17,11,14,15,29,,,,,29,,,,,,,,,
ENEO,Tecnico,Terapia fisica y rehabilitacion,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,,,,,,,,,,,,,,
ENEO,Tecnico,Terapia fisica y rehabilitacion,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,8,10,11,15,10,,,,,13,,,,,,,,,
FFyL,Licenciatura,Archivologia,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,4,21,18,18,13,16,15,6,11,4,1,3,,,,
FFyL,Licenciatura,Archivologia,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,4,4,5,5,6,6,3,3,1,3,,,,,
FFyL,Licenciatura,Arte Dramático,Hombres,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,14,13,11,7,8,7,3,11,17,17,28,13,29,27,23,35,62,67,64,80,81,113,125
FFyL,Licenciatura,Arte Dramático,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,4,6,10,14,,11,13,14,9,10,17,20,14,21,25,35,38,46,63,71,98
FFyL,Licenciatura,Bibliotecologia,Total,,,,,,,,,,,,,,,,,,,,,,,,,6,,,11,16,,,,,,,,,,,,,,,,,,,,,,,
FFyL,Licenciatura,Bibliotecologia,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2,6,5,11,8,19,33,36,31,34,41,30,20,18,29,19,31,40,49,62,61
FFyL,Licenciatura,Bibliotecologia,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,15,18,24,23,23,26,30,22,31,30,26,26,15,22,31,30,41,55,57,62,77
FFyL,Licenciatura,Estudios Latinoamericanos,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,8,15,18,32,34,41,54,72,86,105
FFyL,Licenciatura,Estudios Latinoamericanos,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,6,12,18,19,49,47,77,74,98,106,125
FFyL,Licenciatura,Estudios orientales,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,6,6,5,1,,,,,,
FFyL,Licenciatura,Estudios orientales,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,6,2,,1,,,,,
FFyL,Licenciatura,Filosofia,Total,,,,,,,,,,,,,,,,,,,,,50,69,44,46,50,63,69,68,85,,,,,,,,,,,,,,,,,,,,,,,
FFyL,Licenciatura,Filosofia,Hombres,,,,,,,,,,,,26,29,23,27,31,35,32,27,35,,,,,,,,,,61,70,103,133,141,124,120,140,209,209,219,237,221,246,181,228,334,305,357,372,391,329,325
FFyL,Licenciatura,Filosofia,Mujeres,,,,,,,,,,,,12,11,11,14,19,20,12,18,12,,,,,,,,,,50,40,63,48,70,68,75,113,109,123,132,152,154,161,107,153,234,200,215,234,265,202,197
FFyL,Licenciatura,Geografia,Total,,,,,,,,,,,,,,,,,,,,,18,18,10,15,12,23,26,29,48,,,,,,,,,,,,,,,,,,,,,,,
FFyL,Licenciatura,Geografia,Hombres,,,,,,,,,,,,,,,6,7,6,4,3,4,,,,,,,,,,17,22,27,41,52,53,59,89,114,117,89,82,81,67,71,118,175,237,175,348,408,466,495
FFyL,Licenciatura,Geografia,Mujeres,,,,,,,,,,,,,,,5,7,11,14,13,12,,,,,,,,,,39,37,41,58,61,66,59,63,74,82,83,87,73,83,73,84,116,155,205,243,293,351,380
FFyL,Licenciatura,Historia,Total,,,,,,,,,,,,,,,,,,,,,142,127,112,132,97,131,155,153,180,,,,,,,,,,,,,,,,,,,,,,,
FFyL,Licenciatura,Historia,Hombres,,,,,,,,,,,,22,19,21,23,26,34,24,20,24,,,,,,,,,,37,51,60,79,79,68,89,138,195,209,217,251,248,234,212,214,307,254,270,25,307,253,228
FFyL,Licenciatura,Historia,Mujeres,,,,,,,,,,,,65,79,71,89,91,86,108,81,93,,,,,,,,,,119,128,157,159,170,204,241,300,345,388,409,500,476,501,425,440,504,481,429,440,454,403,371
FFyL,Licenciatura,Lengua literatura clasicas,Total,,,,,,,,,,,,,,,,,,,,,15,14,13,16,17,13,22,19,14,,,,,,,,,,,,,,,,,,,,,,,
FFyL,Licenciatura,Lengua literatura clasicas,Hombres,,,,,,,,,,,,,3,1,3,,1,6,7,8,,,,,,,,,,8,9,13,24,22,28,28,22,25,23,19,22,18,16,13,70,32,32,41,37,26,29,35
FFyL,Licenciatura,Lengua literatura clasicas,Mujeres,,,,,,,,,,,,,4,5,7,2,1,3,2,4,,,,,,,,,,7,10,15,28,33,35,45,41,42,29,34,28,29,20,19,19,48,42,37,36,40,49,54
FFyL,Licenciatura,Lengua y literatyra espanolas,Total,,,,,,,,,,,,,,,,,,,,,103,,84,106,81,86,,,,,,,,,,,,,,,,,,,,,,,,,,
FFyL,Licenciatura,Lengua y literatyra espanolas,Hombres,,,,,,,,,,,,,5,9,14,14,20,14,14,20,,,,,,,,,,27,34,46,64,72,85,97,121,156,163,162,146,120,155,107,49,,,,,,,
FFyL,Licenciatura,Lengua y literatyra espanolas,Mujeres,,,,,,,,,,,,,70,79,80,95,116,104,84,73,,,,,,,,,,109,116,123,176,202,220,255,322,375,390,414,363,321,384,271,106,,,,,,,
FFyL,Licenciatura,Lengua y literatura espanola )lingusiytca hispanica),Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,16,4,42,163,279,259,264,284,257,268,237
FFyL,Licenciatura,Lengua y literatura espanola )lingusiytca hispanica),Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,27,33,15,75,276,498,474,479,500,573,493,498
FFyL,Licenciatura,Lengua y liyteratura espanpola )literatura iberoamericana),Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,42,33,30,3,,,,,,,
FFyL,Licenciatura,Lengua y liyteratura espanpola )literatura iberoamericana),Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,41,22,20,3,,,,,,,
FFyL,Licenciatura,Lengua y liyteratura espanpola )literatura mexicana),Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,10,6,1,,,,,,,
FFyL,Licenciatura,Lengua y liyteratura espanpola )literatura mexicana),Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,26,15,18,,,,,,,,
FFyL,Licenciatura,"Lengua y literatura modernas, alemanas",Total,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
FFyL,Licenciatura,"Lengua y literatura modernas, alemanas",Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,4,2,,2,1,,,2,2,3,1,3,2,3,6,7,5,7,10,7,9
FFyL,Licenciatura,"Lengua y literatura modernas, alemanas",Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,1,5,6,8,9,7,11,12,7,4,10,11,8,10,12,13,19,18,15,18,13
FFyL,Licenciatura,"Lengua y literatura modernas, francesas",Total,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,14,10,,,,,,,,,,,,,,,,,,,,,,,
FFyL,Licenciatura,"Lengua y literatura modernas, francesas",Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,10,11,7,6,3,7,12,17,15,16,14,13,21,19,23,23,30,34,28,29,21
FFyL,Licenciatura,"Lengua y literatura modernas, francesas",Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,13,13,17,15,27,24,32,40,35,40,58,55,52,54,53,80,74,96,114,97,110,81
FFyL,Licenciatura,"Lengua y literatura modernas, inglesas",Total,,,,,,,,,,,,,,,,,,,,,,,,,,34,36,36,43,,,,,,,,,,,,,,,,,,,,,,,
FFyL,Licenciatura,"Lengua y literatura modernas, inglesas",Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,15,22,27,26,26,21,24,36,41,50,60,84,76,55,72,87,95,88,88,49,81,68
FFyL,Licenciatura,"Lengua y literatura modernas, inglesas",Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,46,36,84,62,64,77,103,113,131,146,151,199,214,188,241,295,282,280,324,183,286,226
FFyL,Licenciatura,"Lengua y literatura modernas, italianas",Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,
FFyL,Licenciatura,"Lengua y literatura modernas, italianas",Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,5,1,1,15,1,3,3,3,4,6,9,7,6,5,8,4,7,3
FFyL,Licenciatura,"Lengua y literatura modernas, italianas",Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,3,5,5,7,12,12,10,24,20,16,21,14,17,15,27,32,54,28,23,21,14
FFyL,Licenciatura,pedagogia,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,21,31,37,36,21,29,55,61,61,53,45,47,59,78,94,118,138,169,188,174,176
